GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.flogin.service,AuthService,0,125,1,13,0,22,1,11,0,5
backend,com.flogin.service,ProductService,0,131,0,4,0,25,0,12,0,10
backend,com.flogin.exception,ApiExceptionHandler,80,0,0,0,18,0,6,0,6,0
backend,com.flogin.controller,AuthController,38,0,6,0,10,0,5,0,2,0
backend,com.flogin.controller,CategoryController,9,0,0,0,4,0,2,0,2,0
backend,com.flogin.controller,ProductController,121,0,4,0,26,0,11,0,9,0
backend,com.flogin.entity,AuthUser,18,18,0,0,5,5,5,3,5,3
backend,com.flogin.entity,Product,6,43,0,0,2,13,2,11,2,11
backend,com.flogin.entity,Category,0,33,0,0,0,2,0,1,0,1
backend,com.flogin.dto,ProductRequest,0,38,0,0,0,11,0,11,0,11
backend,com.flogin.dto,LoginRequest,11,15,0,0,3,5,3,3,3,3
backend,com.flogin.dto,LoginResponse,19,27,0,0,5,10,5,5,5,5
backend,com.flogin.dto,ApiError,63,0,0,0,19,0,14,0,14,0
backend,com.flogin,Application,40,0,2,0,12,0,6,0,5,0
backend,com.flogin,WebConfig,8,0,0,0,2,0,2,0,2,0
backend,com.flogin,WebConfig.new WebMvcConfigurer() {...},56,0,0,0,7,0,2,0,2,0
